Metric,Value,Units,Year
Bus Fare Revenue,"850,000,000",USD,2025
Bus Operating Cost,"6,200,000,000",USD,2025
Annual Bus Ridership,"1,900,000,000",Trips,2025
Operating Budget Balance,"10,700,000",USD,2025
Time Horizon,1,Years,N/A
