Metric,Value,Units,Year
Bus Fare Revenue,850000000,USD,2025
Bus Operating Cost,6200000000,USD,2025
Annual Bus Ridership,1900000000,Trips,2025
Operating Budget Balance,10700000,USD,2025
Time Horizon,10,Years,N/A
